NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;UNIT;REF_YEAR;AGRICULTURE;BUILDINGS;ENERGY_SUPPLY;FLUORINATED_GASES;INDUSTRY;TRANSPORT;WASTE_MANAGEMENT
AT1;AT13;AT130;90001;0;1990;1.000 t;2021;42,12;2 409,37;2 343,12;26,29;703,44;2 218,40;542,49
AT1;AT13;AT130;90001;0;1991;1.000 t;2021;42,13;2 525,07;2 754,79;36,72;719,12;2 453,43;514,43
AT1;AT13;AT130;90001;0;1992;1.000 t;2021;37,89;2 560,63;2 152,67;37,76;676,16;2 440,35;558,69
AT1;AT13;AT130;90001;0;1993;1.000 t;2021;31,69;2 793,07;1 697,55;79,55;662,75;2 451,02;509,66
AT1;AT13;AT130;90001;0;1994;1.000 t;2021;28,92;2 573,04;2 212,30;89,68;685,42;2 449,52;456,38
AT1;AT13;AT130;90001;0;1995;1.000 t;2021;29,78;2 496,80;2 013,78;115,13;708,83;2 474,90;393,63
AT1;AT13;AT130;90001;0;1996;1.000 t;2021;30,97;2 107,98;2 536,26;129,59;753,68;2 695,31;358,30
AT1;AT13;AT130;90001;0;1997;1.000 t;2021;31,47;2 226,38;2 434,49;147,00;916,12;2 542,85;401,66
AT1;AT13;AT130;90001;0;1998;1.000 t;2021;30,86;2 031,47;2 916,58;170,01;678,14;2 837,84;358,43
AT1;AT13;AT130;90001;0;1999;1.000 t;2021;31,30;2 256,97;2 806,72;183,81;473,55;2 736,83;327,19
AT1;AT13;AT130;90001;0;2000;1.000 t;2021;28,53;1 921,09;2 247,90;174,62;510,55;2 860,62;358,23
AT1;AT13;AT130;90001;0;2001;1.000 t;2021;28,09;2 114,08;2 398,63;207,86;481,35;3 063,33;384,44
AT1;AT13;AT130;90001;0;2002;1.000 t;2021;26,46;2 090,23;2 402,65;240,05;451,35;3 393,61;496,99
AT1;AT13;AT130;90001;0;2003;1.000 t;2021;30,42;2 166,56;2 803,29;238,94;484,19;3 657,99;547,14
AT1;AT13;AT130;90001;0;2004;1.000 t;2021;28,91;2 008,23;2 680,85;240,31;515,30;3 738,98;581,86
AT1;AT13;AT130;90001;0;2005;1.000 t;2021;31,77;1 910,59;3 031,08;285,74;533,61;3 792,66;523,24
AT1;AT13;AT130;90001;0;2006;1.000 t;2021;29,94;1 846,24;2 443,89;277,44;556,13;3 569,31;532,07
AT1;AT13;AT130;90001;0;2007;1.000 t;2021;28,78;1 545,69;2 140,86;283,70;573,10;3 566,41;528,34
AT1;AT13;AT130;90001;0;2008;1.000 t;2021;30,11;1 537,20;2 459,17;293,81;573,29;3 332,48;543,88
AT1;AT13;AT130;90001;0;2009;1.000 t;2021;27,51;1 635,75;2 913,12;320,23;488,77;3 207,55;550,36
AT1;AT13;AT130;90001;0;2010;1.000 t;2021;27,63;1 730,22;3 011,64;343,96;490,96;3 280,78;537,37
AT1;AT13;AT130;90001;0;2011;1.000 t;2021;26,94;1 572,81;2 630,53;363,72;474,11;3 154,56;575,24
AT1;AT13;AT130;90001;0;2012;1.000 t;2021;22,24;1 547,72;2 051,08;383,06;461,96;3 109,00;527,25
AT1;AT13;AT130;90001;0;2013;1.000 t;2021;22,40;1 649,17;1 860,25;404,98;405,10;3 213,59;521,17
AT1;AT13;AT130;90001;0;2014;1.000 t;2021;23,49;1 437,20;1 642,50;428,34;348,47;3 118,91;539,14
AT1;AT13;AT130;90001;0;2015;1.000 t;2021;24,18;1 601,65;1 949,75;454,94;325,30;3 145,73;540,82
AT1;AT13;AT130;90001;0;2016;1.000 t;2021;26,53;1 666,84;2 042,85;476,25;350,74;3 271,69;565,96
AT1;AT13;AT130;90001;0;2017;1.000 t;2021;28,32;1 675,22;2 238,52;479,89;361,36;3 357,31;553,19
AT1;AT13;AT130;90001;0;2018;1.000 t;2021;26,91;1 556,91;2 173,60;492,55;379,26;3 325,37;524,28
AT1;AT13;AT130;90001;0;2019;1.000 t;2021;27,06;1 508,72;2 519,99;472,94;375,81;3 332,21;513,71
AT1;AT13;AT130;90001;0;2020;1.000 t;2021;27,77;1 518,11;2 399,25;458,58;378,74;2 889,81;489,99
AT1;AT13;AT130;90001;0;2021;1.000 t;2021;29,01;1 674,69;2 377,20;393,36;402,31;2 998,42;511,54
